"species","redlistCategory","yearPublished","assessmentDate","habitat","threats","population","populationTrend"
"Thoropa megatympanum","Least Concern",2010,"2008-11-06 00:00:00 UTC","It lives in rocky, rupestrian open areas on wet rock walls near streams or water falls. The egg clutch is deposited in rock fissures. The tadpoles live on wet rock walls where water the water drains.","There is little information, but it is potentially affected by fire, and by disturbance resulting from tourism. In view of the declines observed in some of the species of <i>Thoropa</i> in southeastern Brazil, this species should be monitored for possible future population collapses, perhaps due to chytridiomycosis.","It is a common species is its relatively small range.","Stable"
"Chiasmocleis albopunctata","Least Concern",2004,"2004-04-30 00:00:00 UTC","It lives in open areas in savannahs in the Chaco and Cerrado biomes, and also in the Chiquitano dry forests of Bolivia. It is normally associated with temporary waterbodies and flooded areas in forests, grasslands, fields, where it breeds. It appears to adapt well to anthropogenic disturbance.","Certain populations might be impacted by fires and the spread of intensive agriculture, but overall, this species is not significantly threatened.","It is a common species.","Stable"
"Scinax constrictus","Least Concern",2006,"2006-01-31 00:00:00 UTC","This species occurs in Cerrado habitat. Reproductive activity was observed between December and March, in permanent ponds in open areas.","The Cerrado has historically been altered through shifting agriculture, but is now being heavily impacted by large-scale cattle ranching, soy, corn, and irrigated rice.","No information is currently available.","Unknown"
"Scinax curicica","Data Deficient",2006,"2006-01-31 00:00:00 UTC","Individuals were found during the day in rocky grasslands sheltered under rocks, moss, fallen logs, arum leaves, and within bromeliad rosettes, close to temporary puddles, ponds and swamps, as well as in backwaters of temporary streams surrounded by vegetation. These varied aquatic habitats comprise the breeding habitat. Males call at night, from shrubby vegetation and occasionally on the ground, throughout the rainy season (October-March), and also during the dry season if there is water available for larval development. Clutches of about 400 eggs are placed on the bottom of water bodies, usually on submerged vegetation. The larvae are diurnal and live in aquatic habitats with abundant aquatic vegetation.","No information is currently available on the threats to this species.","Its population status is not known.","Unknown"
"Carterodon sulcidens","Data Deficient",2016,"2016-06-10 00:00:00 UTC","Little is known about the ecology, behaviour or life history of this species. Predators include the Barn Owl (<em>Tyto alba</em>). Members of Carterodon have been found in vegetation types such as grass, shrubs, and cerradáo (a forest savannah dominated by trees above ca. 8 m in height). This species is rarely encountered (Bezerra and Bonvicino 2015). This species inhabits the Cerrado biome, with an apparent association with the more open formations such as campo úmido, campo limpo, campo sujo, and campo cerrado. The species is semi-fossorial and herbivorous based upon few observations and the morphology of the dentition.","Most of the 11 known localities for <span style=""font-style: italic;"">Carterodon</span> are localities that have been highly impacted by disturbance, including agricultural expansion, pastures, urbanization, and the construction of hydroelectric dams. The entire core area of the Cerrado is undergoing rapid conversion. A number of these localities have no recent capture records, and other localities are now altered or disturbed. The 11 historical localities do not all retain populations of this species. The Red List for the State of Minas Gerais (Machado <span style=""font-style: italic;"">et al.</span> 1998) considers that the species is likely to be extinct in the state, which includes two known localities and a significant proportion of suitable habitat.","The population status of this species is not known.","Unknown"
"Epicrates crassus","Least Concern",2021,"2012-12-31 00:00:00 UTC","The typical habitats of this species are open interfluvial savannas and grasslands in the Cerrado region&#160;(Valdujo <em>et al</em>. 2009, Nogueira&#160;<em>et al</em>. 2010, Sousa<em> et al</em>. 2010, Recoder <em>et al</em>. 2011), and in its contact areas with the Chaco and Atlantic Forest (Passos and Fernandez 2008, Giraudo<em> et al. </em>2012). It can persist in pasture and other agricultural areas. It is a viviparous species with a seasonal reproductive cycle, and females give birth to between 8 and 22 neonates per litter (Pizzatto and Marques 2007). It preys on birds and small mammals (Cassimiro <em>et al</em>. 2010).","In Argentina the species is threatened by habitat loss due to urbanization, agricultural expansion, and exotic tree plantations (Giraudo&#160;<em>et al</em>. 2012). In the Cerrado region it may be threatened by the extensive habitat loss caused by the expansion of mechanized agriculture (Nogueira <em>et al</em>. 2010). Nevertheless, at least 50% of the range in Brazil was covered in original vegetation based on land use data for 2008 and this species exhibits a degree of tolerance to disturbed areas.","<p>This is a moderately frequently-encountered species in central Brazil (Nogueira <em>et al.</em> 2010).</p>","Unknown"
"Apostolepis intermedia","Least Concern",2019,"2014-11-13 00:00:00 UTC","This species is found in Cerrado habitats (Albuquerque and Lema 2012, Entiauspe-Neto <em>et al</em>. 2014), and possibly in the Pantanal&#160;(Albuquerque and Lema 2012).","<p>There are no major threats affecting the species&#160;(P. Cacciali and N. Scott pers. comm. 2014).</p>","The species is common at the known Paraguayan locality. Its scarcity in scientific collections is probably due to inappropriate sampling techniques&#160;(P. Cacciali and N. Scott pers. comm. 2014).","Unknown"
"Apostolepis tertulianobeui","Least Concern",2021,"2020-01-30 00:00:00 UTC","There is ""no detailed field data"" on the ecology of this recently-resurrected species, but thee known localities are in the central portion of the Cerrado and its contact zone with the Atlantic Forest (Nogueira <em>et al. </em>2019).","No major threats are thought to exist to this species.","There is no information on the population status of this species.","Unknown"
"Apostolepis vittata","Vulnerable",2021,"2020-01-30 00:00:00 UTC","This species is known from the Cerrado, but there is no detailed information on its ecology (Nogueira<em> et al.</em> 2019).","Most of this species' known limited range is affected by the conversion of native vegetation to pastureland. Around the Manso reservoir, one of the known localities, an increase in land speculation for real estate developments is likely to affect this species.","There is no information on the population status of this species. It appears to be common within&#160;Chapada dos Guimarães National Park.","Unknown"
"Phalotris matogrossensis","Least Concern",2021,"2014-11-11 00:00:00 UTC","This fosssorial species is found in the western area of Cerrado where it comes into contact with the Chaco&#160;(Lema&#160;<em>et al</em>. 2005), and in Atlantic Forest of Alto Paraná (Cacciali and Motte 2007). It inhabits open areas and lives in natural underground galleries (usually formed by the death of tree roots or by underground streams) or burrows excavated by mammals and amphisbaenians. It feeds on insect larvae, worms and other invertebrates living in these galleries, and is itself prey for coral snakes<em>&#160;</em>(Lema <em>et al</em>. 2005).","<p>There are no major threats affecting the species&#160;(P. Cacciali and N. Scott pers. comm. 2014).</p><p></p>","The species is common. Its scarcity in scientific collections is probably due to the use of inappropriate sampling techniques&#160;(P. Cacciali and N. Scott pers. comm. 2014).","Unknown"
